application_id,term,program,major,country,uni_tier,cgpa_10,gre_total,gre_aw,toefl,ielts,work_exp_years,internships,projects,research_exp,publications,sop_score,lor_score,portfolio_score,interview_score,gender,income_bucket,first_gen,chance_of_admit,admit_label
22,Spring 2025,MS,DS,Russia,Tier3,6.99,300,5.0,98,,0.0,1,5,False,0,4.0,4.0,3.5,2.0,Male,High,True,0.7386,1
23,Fall 2024,MTech,CS,Qatar,Tier3,8.7,305,3.5,107,,2.9,4,4,True,1,3.5,3.0,3.5,4.5,Female,Middle,False,0.917,1
24,Spring 2025,MBA,Civil,Vietnam,Tier1,7.46,287,5.5,112,7.0,1.0,4,4,False,0,3.5,3.0,3.5,3.5,Female,Middle,False,0.6236,1
25,Spring 2025,MS,CS,New Zealand,Tier2,7.21,283,4.0,93,,2.1,1,7,False,1,4.0,3.0,4.0,4.0,Female,Low,True,0.693,1
26,Fall 2024,PhD,Mech,South Africa,Tier2,7.28,305,2.5,93,,4.2,2,0,False,0,2.5,3.0,2.0,4.0,Male,Middle,False,0.6751,1
27,Spring 2025,MS,DS,Egypt,Tier2,8.08,296,3.5,102,,0.5,2,5,False,0,2.5,3.0,3.5,4.0,Male,High,False,0.7404,1
28,Fall 2024,MTech,Civil,Indonesia,Tier1,7.93,294,4.5,78,7.0,0.0,0,1,False,0,2.5,3.0,2.5,3.0,Male,Low,True,0.6678,1
29,Fall 2024,MTech,Finance,Norway,Tier2,7.97,293,3.5,105,7.5,1.8,2,3,False,0,4.0,2.5,3.0,3.5,Female,Middle,False,0.6865,1
30,Fall 2025,MS,CS,Turkey,Tier2,7.99,332,4.0,82,,0.0,2,4,False,0,3.0,4.0,3.5,3.0,Female,Low,False,0.793,1
31,Spring 2026,MS,ECE,Singapore,Tier1,9.53,330,5.0,82,7.0,1.7,0,2,False,1,4.5,3.0,3.0,2.5,Male,Middle,True,0.8968,1
32,Spring 2025,MTech,CS,Malaysia,Tier1,7.23,296,4.5,113,7.0,1.9,0,1,False,0,2.5,3.5,1.0,3.0,Female,Low,False,0.5745,1
33,Fall 2024,MTech,Econ,Vietnam,Tier1,7.14,278,4.5,68,7.0,0.0,1,5,False,0,3.5,3.0,2.0,2.5,Non-binary,Middle,True,0.5102,1
34,Spring 2026,MTech,ECE,Australia,Tier1,6.87,294,3.5,110,,0.7,0,3,False,1,3.5,2.0,4.5,3.0,Male,Middle,False,0.7062,1
35,Spring 2026,MS,DS,France,Tier2,8.15,289,3.5,113,7.0,3.5,3,2,False,0,3.0,3.5,4.0,4.0,Male,Low,True,0.7696,1
36,Fall 2025,MS,ECE,Sri Lanka,Tier3,8.62,306,3.0,100,9.0,4.3,2,2,False,0,3.5,4.0,2.5,3.0,Male,Low,False,0.8174,1
37,Spring 2026,MS,Bio,Germany,Tier1,7.5,288,4.0,101,7.5,4.0,1,2,False,1,2.5,3.0,3.0,4.5,Female,Middle,True,0.7641,0
38,Fall 2025,MS,DS,France,Tier3,6.84,286,3.5,75,7.5,3.8,1,1,False,0,3.5,3.5,4.0,3.5,Female,Low,False,0.5039,0
39,Spring 2025,MBA,ECE,Chile,Tier2,6.86,276,4.0,87,,2.3,0,6,True,1,4.0,3.5,3.5,2.0,Female,Middle,True,0.6026,1
40,Spring 2025,MBA,ECE,Turkey,Tier2,8.19,323,2.0,102,7.5,0.0,1,2,False,0,2.5,3.0,3.0,2.5,Male,Low,True,0.7776,1
41,Fall 2024,MTech,Econ,Saudi Arabia,Tier1,8.27,314,2.5,100,8.0,3.2,1,4,True,0,4.5,3.0,3.0,4.5,Male,Low,False,0.8699,0
42,Fall 2024,MS,DS,Germany,Tier2,8.09,299,4.5,100,7.5,1.5,2,4,False,2,4.5,4.0,3.5,2.5,Male,Low,True,0.7889,0
43,Fall 2025,PhD,DS,Sweden,Tier3,7.0,297,2.5,99,7.0,0.0,0,3,False,0,2.5,3.0,1.0,1.5,Female,High,False,0.4934,1
44,Spring 2025,MBA,DS,France,Tier3,7.81,297,4.0,95,8.0,2.4,2,3,False,1,3.0,4.5,3.0,4.0,Male,Low,True,0.7134,1
45,Spring 2026,MS,DS,Kenya,Tier1,7.71,293,3.5,80,8.5,1.6,1,4,False,0,2.0,2.0,2.5,3.0,Male,Middle,False,0.4804,1
46,Fall 2025,MBA,CS,Philippines,Tier2,7.8,310,3.0,100,,2.0,1,3,False,0,3.5,3.5,3.5,4.5,Male,Middle,False,0.7449,1
47,Fall 2025,MS,DS,Russia,Tier3,8.38,287,4.0,80,,0.4,1,2,False,0,3.5,2.5,1.0,3.5,Female,Middle,False,0.678,1
48,Fall 2025,MS,ECE,Mexico,Tier1,7.8,308,4.0,91,,0.4,1,1,True,1,3.0,4.0,3.0,3.0,Female,High,True,0.7686,0
49,Fall 2025,MS,CS,France,Tier3,8.21,301,4.5,112,7.0,2.1,1,2,False,1,2.5,3.5,3.5,5.0,Female,Middle,True,0.81,1
50,Fall 2024,MBA,ECE,Mexico,Tier3,7.66,291,3.0,75,7.0,1.4,0,6,False,0,5.0,2.0,4.0,3.0,Female,Low,False,0.6119,0
51,Fall 2025,PhD,Bio,Saudi Arabia,Tier2,7.86,322,3.5,96,6.5,1.4,1,3,True,0,2.5,3.0,3.0,3.0,Male,Middle,False,0.8117,1
52,Fall 2024,MS,Econ,Canada,Tier2,8.17,302,5.0,106,8.0,0.1,2,3,True,2,4.0,3.0,3.0,4.5,Male,Middle,False,0.7923,1
53,Fall 2025,MS,ECE,Nigeria,Tier3,6.29,284,3.5,101,7.0,0.0,1,7,True,3,3.5,2.0,3.5,3.0,Male,Middle,True,0.5607,0
54,Fall 2025,MBA,Finance,Spain,Tier3,7.31,295,4.5,98,7.5,0.6,2,3,False,0,4.0,3.0,3.5,3.5,Male,High,False,0.685,1
55,Spring 2025,MTech,CS,Bangladesh,Tier2,7.18,294,3.5,86,,3.1,1,2,False,1,3.5,5.0,3.5,2.0,Female,High,False,0.5864,1
56,Spring 2026,MS,Mech,New Zealand,Tier2,7.03,285,4.5,109,,3.0,1,5,False,0,3.0,5.0,1.5,4.0,Male,Middle,False,0.7162,1
57,Spring 2025,MS,CS,Sri Lanka,Tier2,7.35,290,1.5,79,6.5,0.0,2,5,False,0,2.5,4.5,3.0,2.5,Female,Middle,True,0.67,0
58,Spring 2026,MS,ECE,Malaysia,Tier1,8.95,337,5.5,107,,1.8,0,3,False,0,4.0,4.5,3.5,3.0,Female,Low,True,0.8738,1
59,Spring 2025,MS,CS,South Africa,Tier3,6.82,293,3.5,96,,0.8,1,4,False,1,2.5,3.5,3.0,4.0,Female,Middle,False,0.6422,1
60,Fall 2024,MBA,Bio,United Arab Emirates,Tier3,8.47,308,3.0,86,7.0,5.2,0,3,False,0,4.5,4.0,2.5,3.0,Female,Middle,True,0.7624,1
61,Fall 2024,MBA,CS,Spain,Tier2,6.09,260,3.0,86,,0.5,2,1,False,0,3.5,4.0,3.0,2.5,Male,High,False,0.5917,1
62,Fall 2025,PhD,CS,Norway,Tier3,7.3,286,3.5,115,7.5,0.2,4,3,False,0,4.0,2.5,4.0,3.5,Male,Middle,True,0.5745,0
63,Spring 2026,MTech,DS,Japan,Tier3,7.75,310,4.0,82,8.0,0.4,0,2,False,0,3.5,2.5,2.0,4.5,Male,Middle,False,0.6997,1
64,Spring 2026,MS,Civil,Vietnam,Tier3,8.13,318,4.0,76,,4.0,1,5,True,1,4.5,4.0,3.5,4.0,Female,Low,False,0.8911,1
65,Fall 2025,MBA,CS,France,Tier2,8.24,314,3.0,89,,0.0,2,2,False,1,3.5,2.0,2.5,4.5,Male,Low,False,0.7907,0
66,Spring 2025,PhD,Mech,Australia,Tier3,8.31,294,5.0,99,,0.0,0,2,False,0,3.0,4.0,3.0,2.5,Male,Middle,False,0.656,1
67,Fall 2024,MS,CS,Nigeria,Tier3,7.29,299,3.5,112,7.0,1.9,0,4,False,0,2.5,3.5,4.5,3.5,Female,Middle,False,0.7119,1
68,Fall 2024,MS,Civil,Bangladesh,Tier1,7.18,303,3.5,96,7.5,2.6,0,5,False,0,2.5,4.0,2.5,3.0,Female,Middle,False,0.6877,0
69,Spring 2025,MTech,Civil,Vietnam,Tier3,8.37,313,4.0,77,,2.7,0,4,False,0,4.0,4.5,3.5,3.5,Female,High,False,0.7463,1
70,Fall 2024,MS,Econ,Spain,Tier2,7.43,314,4.5,98,7.0,0.0,4,1,False,0,4.0,2.5,4.0,3.5,Male,Middle,True,0.7534,1
71,Fall 2025,MS,DS,Norway,Tier1,6.45,264,4.0,102,6.0,0.5,1,2,False,0,3.5,4.0,3.5,4.5,Female,Middle,False,0.4875,0
72,Fall 2024,MTech,ECE,China,Tier3,6.58,286,3.5,97,7.0,2.6,0,3,True,1,4.0,4.5,3.5,3.5,Female,Low,False,0.6879,1
73,Spring 2025,MS,CS,Germany,Tier1,6.77,272,3.5,98,8.0,0.4,1,2,False,0,4.5,3.5,4.0,3.0,Female,Middle,False,0.5667,0
74,Spring 2025,MTech,DS,Canada,Tier2,8.05,316,5.0,74,,0.0,4,2,False,0,3.0,3.0,4.0,3.0,Female,Middle,False,0.7867,0
75,Spring 2026,MTech,CS,Nepal,Tier2,7.73,306,5.0,79,,3.0,3,7,True,1,3.5,3.0,3.0,3.5,Female,Middle,False,0.7935,1
76,Spring 2026,MTech,DS,Poland,Tier3,8.22,326,4.5,96,8.0,3.8,3,4,True,0,3.0,3.0,3.5,3.5,Male,Middle,True,0.8137,1
77,Spring 2025,MBA,CS,Poland,Tier2,7.22,295,4.0,108,8.0,0.9,0,4,False,0,2.5,3.0,2.5,3.0,Male,Middle,False,0.5885,0
78,Fall 2024,MTech,DS,Argentina,Tier2,7.74,296,6.0,85,7.5,1.3,3,5,False,0,4.5,3.0,3.5,2.5,Male,High,True,0.6956,1
79,Spring 2026,MS,Finance,Ghana,Tier2,8.16,302,4.5,98,8.0,0.2,0,1,False,0,3.5,3.0,1.5,3.5,Female,Middle,False,0.7156,1
80,Fall 2025,MS,Bio,France,Tier2,7.32,290,4.0,96,,3.1,2,4,True,0,3.5,2.0,3.0,2.5,Female,Low,True,0.6598,1
81,Fall 2024,MS,CS,United Kingdom,Tier3,8.01,300,4.0,82,7.5,4.9,1,2,False,0,3.5,3.5,3.5,2.5,Male,Low,True,0.7837,1
82,Fall 2025,MTech,Econ,Bangladesh,Tier3,7.0,300,4.0,86,7.0,2.0,3,1,False,0,3.0,4.0,2.0,3.0,Male,Middle,False,0.6299,1
83,Spring 2025,MS,CS,Chile,Tier1,7.27,304,1.0,95,8.0,1.6,2,2,True,2,4.0,4.5,1.5,3.5,Male,Low,True,0.7046,1
84,Fall 2024,MS,Mech,Spain,Tier1,7.26,276,5.0,88,5.5,1.6,1,5,False,0,3.5,4.0,3.0,3.5,Male,Middle,False,0.664,1
85,Spring 2025,MS,CS,Chile,Tier1,6.52,279,2.5,103,7.0,2.0,1,4,False,0,3.0,3.5,4.0,3.5,Male,Low,False,0.5878,1
86,Spring 2026,MS,CS,Ghana,Tier3,8.04,306,3.5,91,8.0,0.0,4,3,False,0,3.5,3.5,4.0,2.5,Female,Low,False,0.6724,1
87,Spring 2025,MTech,Mech,Russia,Tier3,7.18,282,2.5,104,,0.0,3,2,True,1,4.0,3.0,2.5,3.5,Female,Middle,False,0.7123,1
88,Fall 2025,MTech,Bio,Indonesia,Tier2,7.61,302,3.5,91,,4.1,2,0,False,0,3.5,3.5,3.0,2.5,Male,High,True,0.6839,1
89,Spring 2026,MTech,Bio,South Korea,Tier2,8.03,320,4.0,97,,4.9,1,3,False,1,4.5,3.0,3.0,2.0,Female,High,True,0.8247,1
90,Spring 2025,MS,Civil,Poland,Tier1,8.0,313,5.0,106,7.0,1.1,0,0,False,0,4.0,2.0,4.5,3.0,Male,Low,False,0.7028,1
91,Spring 2026,MTech,CS,Canada,Tier3,8.2,321,5.5,96,7.5,0.4,0,3,False,0,2.5,4.0,2.5,4.5,Male,High,True,0.8035,0
92,Spring 2026,PhD,Civil,Argentina,Tier3,7.51,289,5.5,89,7.5,3.8,1,3,False,2,4.5,3.0,3.0,3.5,Female,High,False,0.7714,1
93,Fall 2024,MS,ECE,India,Tier2,7.22,291,4.0,93,,3.4,0,4,False,0,2.0,2.5,2.5,3.0,Female,Low,True,0.5582,1
94,Fall 2024,MBA,Bio,South Korea,Tier2,7.53,288,4.0,105,7.5,3.4,0,5,False,0,4.5,3.0,3.5,4.5,Male,Middle,True,0.7202,1
95,Fall 2024,MS,CS,India,Tier1,6.08,273,4.5,96,7.5,0.0,0,4,False,0,3.5,3.5,3.5,2.0,Male,Middle,False,0.4228,1
96,Spring 2025,MTech,DS,United Kingdom,Tier2,6.3,277,3.0,67,,0.0,2,4,False,1,3.0,3.5,4.0,3.5,Male,Middle,False,0.433,0
97,Spring 2026,MS,CS,Chile,Tier1,6.41,286,3.0,85,8.0,0.0,0,2,False,1,3.5,2.5,1.5,2.0,Male,High,False,0.4658,1
98,Spring 2025,MBA,Bio,Kenya,Tier1,6.7,295,3.5,86,,0.9,1,4,True,3,2.5,2.5,3.0,3.0,Female,Low,False,0.6904,0
99,Fall 2024,MTech,DS,Egypt,Tier3,7.96,311,4.0,103,7.0,0.9,1,5,False,0,3.0,2.0,3.5,3.0,Male,Middle,False,0.7518,1
100,Fall 2025,MS,CS,Norway,Tier2,6.79,274,2.0,69,7.0,2.4,1,2,False,0,2.0,2.5,3.5,2.5,Male,Middle,False,0.5133,0
101,Spring 2025,MS,CS,Mexico,Tier1,7.26,278,5.0,96,7.5,3.7,1,0,False,0,4.0,5.0,2.0,1.5,Male,Middle,False,0.6308,1
102,Fall 2024,MS,DS,Singapore,Tier1,8.77,323,4.5,105,,0.0,1,1,False,1,3.0,3.5,3.5,4.5,Female,Middle,False,0.8917,1
103,Spring 2025,MS,CS,Ukraine,Tier1,7.28,307,4.5,103,7.5,3.2,0,3,False,1,3.5,3.0,2.0,3.0,Male,High,False,0.7539,1
104,Spring 2026,MTech,ECE,Philippines,Tier3,8.26,309,2.5,95,7.5,3.7,0,0,False,0,4.5,3.5,2.5,2.0,Male,Middle,False,0.7166,1
105,Spring 2025,MS,DS,Pakistan,Tier3,6.76,267,3.5,72,,6.0,0,4,False,0,3.0,4.0,3.5,2.0,Female,Low,False,0.5737,0
106,Fall 2025,MTech,CS,Kenya,Tier2,7.42,315,3.5,93,,2.1,2,3,False,0,3.0,2.5,2.5,2.0,Male,Middle,True,0.6367,1
107,Spring 2025,MBA,CS,Egypt,Tier2,6.74,287,3.5,111,8.0,1.8,0,5,True,2,4.0,2.5,4.5,3.0,Male,Middle,True,0.5392,0
108,Fall 2025,MBA,Mech,Norway,Tier2,7.29,294,4.0,87,,1.4,0,3,False,0,2.5,3.5,3.0,4.0,Male,Middle,False,0.6476,1
109,Spring 2026,MS,CS,South Korea,Tier2,8.36,299,5.0,120,8.0,2.1,0,5,False,0,3.0,2.5,3.5,3.0,Male,Middle,False,0.7866,1
110,Spring 2025,MTech,Bio,Canada,Tier3,6.05,270,4.0,102,,5.5,1,0,False,0,3.0,4.0,2.5,3.5,Male,Middle,False,0.5026,0
111,Spring 2026,MS,DS,Malaysia,Tier2,7.99,311,3.5,94,,3.2,1,1,False,1,3.5,4.5,3.0,2.5,Female,Low,False,0.7396,1
112,Fall 2025,MS,CS,Russia,Tier1,7.81,306,6.0,98,6.5,2.1,0,3,False,0,3.0,3.5,3.5,5.0,Male,Middle,True,0.7556,0
113,Fall 2025,PhD,ECE,South Korea,Tier1,7.07,281,3.5,98,8.0,0.0,1,2,False,0,2.5,4.5,3.0,3.0,Female,High,False,0.4757,1
114,Fall 2024,MS,DS,Japan,Tier1,6.3,274,3.0,85,7.5,2.5,2,3,False,1,3.5,4.0,2.5,3.5,Male,Middle,False,0.5297,0
115,Fall 2025,MBA,Mech,Egypt,Tier2,7.66,292,2.5,89,7.5,0.0,0,3,False,0,4.0,3.0,2.5,3.5,Female,Middle,False,0.6492,1
116,Fall 2024,MTech,Civil,Chile,Tier1,7.12,306,4.0,120,,4.1,1,4,False,0,3.0,3.5,3.0,3.0,Female,Middle,False,0.7833,1
117,Fall 2025,MS,CS,Sri Lanka,Tier2,7.81,310,4.5,114,7.0,1.3,1,4,False,1,3.5,3.0,4.0,4.5,Male,Low,True,0.7386,1
118,Spring 2025,MS,CS,Chile,Tier2,7.62,292,3.0,90,6.5,0.0,0,4,False,0,4.0,4.0,3.5,2.5,Female,Middle,True,0.7013,0
119,Spring 2025,MS,Econ,Indonesia,Tier3,9.04,311,5.0,87,6.5,0.0,2,3,False,0,4.0,3.5,4.5,3.0,Male,Low,False,0.7817,0
120,Spring 2026,MBA,DS,Sri Lanka,Tier3,7.38,296,4.0,75,8.0,0.6,1,4,False,0,3.0,2.5,2.5,2.5,Male,Middle,True,0.683,1
121,Fall 2025,MBA,Mech,Qatar,Tier2,6.68,276,2.5,118,9.0,1.7,4,3,True,1,4.0,3.0,3.0,2.5,Male,Low,True,0.6067,0
122,Spring 2025,MBA,CS,Russia,Tier2,7.76,296,4.5,107,6.5,1.3,1,3,True,0,5.0,3.5,2.5,4.5,Male,Middle,False,0.7424,0
123,Fall 2024,MBA,Civil,Nepal,Tier2,7.8,290,4.0,109,7.5,1.0,1,2,False,0,3.0,3.5,1.0,3.5,Male,Low,False,0.6349,1
124,Spring 2025,MS,CS,Indonesia,Tier1,8.82,309,3.0,89,8.0,4.7,2,3,False,0,3.5,4.0,2.5,5.0,Male,Middle,False,0.8175,1
125,Fall 2025,MTech,CS,United Kingdom,Tier3,8.35,312,5.0,89,7.0,0.9,0,4,False,0,4.5,3.5,3.5,4.0,Male,Middle,True,0.7974,1
126,Fall 2025,MTech,DS,Sweden,Tier2,7.92,300,5.0,84,6.5,0.6,3,3,False,0,2.5,4.0,3.5,4.0,Female,Middle,True,0.5795,1
127,Fall 2024,MTech,DS,Turkey,Tier2,8.92,340,3.0,61,7.0,1.8,1,4,False,0,4.5,2.5,4.5,4.0,Female,Middle,True,0.8273,1
128,Spring 2026,MBA,DS,Pakistan,Tier2,6.53,284,4.0,83,,1.1,3,8,True,2,4.0,4.5,3.5,3.0,Female,Middle,True,0.5738,0
129,Fall 2025,MTech,Civil,China,Tier3,7.02,276,4.0,96,,2.1,0,1,False,0,3.0,3.0,2.5,3.0,Male,Middle,True,0.4771,0
130,Spring 2025,MS,Econ,Bangladesh,Tier2,6.77,267,4.0,95,7.5,0.1,2,3,False,0,4.5,3.0,4.0,4.5,Male,Middle,False,0.6313,0
131,Spring 2026,MS,CS,Canada,Tier3,7.25,295,3.5,87,,2.0,1,4,False,1,4.5,4.0,3.5,3.5,Male,Low,False,0.6507,1
132,Fall 2024,MS,Finance,Vietnam,Tier3,6.36,271,3.5,100,,0.0,0,6,False,0,2.5,3.5,4.0,2.5,Male,Middle,True,0.4574,1
133,Fall 2024,MBA,Finance,Kenya,Tier2,8.17,321,5.0,89,7.0,0.2,0,2,False,0,3.0,3.0,2.5,3.5,Male,Middle,False,0.8379,0
134,Spring 2026,MTech,ECE,Singapore,Tier3,7.4,297,4.5,104,,1.0,1,1,False,1,3.5,3.5,4.0,4.0,Female,High,True,0.6978,1
135,Spring 2025,PhD,Econ,Spain,Tier1,6.28,260,2.0,100,7.5,0.9,0,4,False,2,3.0,3.5,2.0,2.5,Female,Low,True,0.5151,0
136,Fall 2025,MS,Civil,Chile,Tier2,6.69,271,2.0,102,,1.8,2,7,False,1,3.5,3.0,4.0,2.5,Male,Middle,True,0.646,1
137,Fall 2024,MTech,DS,Nepal,Tier3,7.88,296,2.5,95,,0.1,1,3,False,1,3.0,4.5,2.0,2.5,Female,Low,False,0.7255,1
138,Fall 2025,MBA,Finance,Bangladesh,Tier2,8.35,315,3.0,87,,1.7,2,6,False,1,3.5,4.0,4.0,4.0,Female,Low,False,0.8403,0
139,Fall 2024,MBA,Civil,Pakistan,Tier3,9.4,319,3.5,83,8.0,2.4,0,1,False,0,4.0,3.5,3.5,4.5,Female,Middle,True,0.8705,1
140,Fall 2024,PhD,DS,Netherlands,Tier2,10.0,340,4.0,73,,1.3,4,1,False,0,4.5,4.0,4.0,3.0,Female,Middle,False,0.8967,1
141,Fall 2025,MTech,Civil,Norway,Tier1,7.97,291,4.0,103,,1.9,3,5,False,0,2.0,3.0,2.5,3.0,Male,High,True,0.6744,1
142,Fall 2024,MBA,DS,Canada,Tier2,6.71,282,4.0,73,,1.0,1,1,False,0,2.5,2.5,3.0,3.5,Female,High,False,0.5121,1
143,Fall 2025,MTech,CS,Ghana,Tier1,5.68,267,3.5,90,7.5,1.6,2,3,False,0,3.5,4.0,2.5,1.5,Male,Middle,False,0.4339,1
144,Spring 2026,MS,DS,Ghana,Tier2,7.84,316,5.0,99,,1.1,4,3,False,1,2.5,2.0,4.0,2.0,Female,Low,False,0.7686,1
145,Fall 2025,MTech,Civil,Australia,Tier2,6.87,287,2.5,81,6.5,6.0,0,4,False,0,2.5,4.5,3.0,2.5,Female,Low,False,0.6005,1
146,Spring 2025,MTech,ECE,China,Tier2,7.23,283,4.5,92,,1.8,1,3,False,0,3.5,3.5,3.5,2.5,Female,Middle,False,0.6165,1
147,Fall 2025,MBA,DS,Thailand,Tier2,7.05,302,4.0,99,,0.0,2,1,False,0,3.0,2.5,3.5,3.5,Female,Middle,True,0.7173,1
148,Fall 2025,MBA,CS,Australia,Tier1,7.47,293,3.0,91,,1.3,1,2,False,0,4.0,2.5,3.0,2.5,Male,High,True,0.7582,0
149,Fall 2025,MTech,ECE,South Korea,Tier3,8.56,322,4.5,103,,0.0,4,4,False,0,5.0,2.5,3.0,4.0,Male,Middle,False,0.8211,1
150,Spring 2025,MBA,Econ,United Kingdom,Tier2,7.74,294,4.5,89,8.0,0.0,1,6,False,0,4.0,3.0,3.5,2.5,Male,Low,True,0.673,0
151,Fall 2025,MS,Finance,United Kingdom,Tier2,7.46,296,4.0,91,7.5,1.9,1,3,False,0,3.5,3.0,2.5,3.5,Female,Low,True,0.7284,1
152,Spring 2026,MBA,ECE,New Zealand,Tier3,6.67,273,1.5,82,7.0,3.5,4,7,False,0,4.0,3.0,3.0,3.0,Male,Middle,False,0.6132,1
153,Fall 2025,MS,Bio,Bangladesh,Tier3,6.09,274,4.5,91,,2.6,2,2,False,0,3.0,3.5,2.5,3.5,Male,Middle,False,0.5014,1
154,Spring 2026,MTech,Econ,United Arab Emirates,Tier3,7.16,298,4.0,95,,2.0,1,3,False,0,3.5,3.5,3.0,3.0,Male,High,False,0.6843,0
155,Spring 2025,MS,Mech,Nepal,Tier1,7.55,292,4.5,83,6.5,3.3,1,1,False,1,3.5,3.0,3.5,3.5,Male,Middle,False,0.7883,0
156,Fall 2025,MS,ECE,Pakistan,Tier1,9.19,320,1.0,102,,1.0,1,1,False,0,3.5,2.5,2.5,3.0,Female,Middle,False,0.8562,1
157,Spring 2026,MBA,ECE,Pakistan,Tier3,7.72,303,3.5,66,6.5,0.0,2,3,False,0,2.5,3.5,2.5,3.5,Male,Middle,False,0.5384,0
158,Fall 2024,MS,ECE,Sweden,Tier2,8.48,305,3.0,108,7.5,2.6,1,1,False,1,4.0,3.5,3.0,3.5,Male,Low,False,0.7861,1
159,Fall 2024,MTech,DS,India,Tier1,7.15,274,5.0,75,,1.2,1,3,False,1,3.0,3.0,1.5,3.0,Female,Middle,False,0.5851,0
160,Spring 2025,MTech,DS,Netherlands,Tier1,6.53,282,3.0,106,,2.6,1,3,False,0,3.0,3.0,2.5,4.0,Female,Middle,True,0.5897,1
161,Fall 2025,MTech,Mech,Vietnam,Tier2,6.73,281,5.0,101,,2.6,1,4,False,0,5.0,2.0,4.0,3.5,Female,High,False,0.6219,0
162,Spring 2026,MS,ECE,Canada,Tier1,6.95,284,5.0,106,,1.8,2,1,False,0,3.5,3.0,2.5,3.0,Female,Low,False,0.6429,1
163,Fall 2025,MS,CS,Ukraine,Tier2,9.52,337,4.5,85,,2.0,1,4,True,2,4.0,4.0,3.0,5.0,Male,Middle,True,0.8603,1
